Model Year;Mfr Name;Carline;Cyl;Transmission;City FE;Hwy FE;Comb FE;Release Date
2020;Honda;NSX;6;Auto(AM-S9);21;22;21;21/10/2019
2020;FCA US LLC;4C;4;Auto(AM6);24;34;28;21/06/2019
2020;aston martin;Vantage Manual;8;Manual(M7);14;21;17;26/09/2019
2020;aston martin;Vantage V8;8;Auto(S8);18;24;20;25/03/2019
2020;Volkswagen Group of;R8;10;Auto(AM-S7);13;20;16;04/07/2019
2020;Volkswagen Group of;R8 Spyder;10;Auto(AM-S7);13;20;16;04/07/2019
2020;Volkswagen Group of;TT Roadster quattro;4;Auto(AM-S7);23;31;26;30/08/2019
2020;BMW;Z4 M40i;6;Auto(S8);24;31;26;15/04/2019
2020;BMW;Z4 sDrive30i;4;Auto(S8);24;32;27;21/07/2019
2020;Volkswagen Group of;Chiron;16;Auto(AM-S7);9;14;11;31/10/2019
2020;Volkswagen Group of;Divo;16;Auto(AM-S7);9;13;10;01/05/2020
2020;General Motors;CORVETTE;8;Auto(S8);15;27;19;25/01/2020
2020;Ferrari;488 Pista;8;Auto(AM7);15;20;17;01/08/2019
2020;Ferrari;488 Pista Spider;8;Auto(AM7);15;19;17;01/08/2019
2020;Ferrari;812 Superfast;12;Auto(AM7);12;16;13;01/08/2019
2020;Ferrari;F8 Tributo;8;Auto(AM7);15;19;16;01/08/2019
2020;FCA US LLC;124 Spider;4;Auto(A6);25;36;29;15/07/2019
2020;FCA US LLC;124 Spider;4;Manual(M6);26;35;30;15/07/2019
2020;Ford Motor Company;FORD GT;6;Auto(AM7);12;18;14;18/12/2019
2020;Jaguar Land Rover L;F-TYPE AWD Convertible;8;Auto(S8);16;24;18;14/03/2019
2020;Jaguar Land Rover L;F-TYPE AWD Coupe;8;Auto(S8);16;24;18;14/03/2019
2020;Jaguar Land Rover L;F-TYPE Convertible;4;Auto(S8);23;30;26;08/02/2019
2020;Jaguar Land Rover L;F-TYPE Convertible;6;Auto(S8);20;28;23;08/03/2019
